State Name (state_name),State Code (state_code),Forest division name (division),Forest range name (range),Forest Conservation Act project (fca_project),Year of initiation of project (fca_project_year),Name of the site (site_name),Area diverted in hectares (area_diverted),Type of land (land_type),Updated on (updated_on),Updated by (updated_by),Diverted land GPS identifier (diverted_land_gps_id),
Arunachal Pradesh,12,Anjaw Forest Division,"Ditchu Forest Range, Wallong",PROPOSAL FOR DIVERSION OF 37.20 HA OF FOREST LAND FOR CONSTRUCTION ROAD ON EASTERN BANK OF LOHIT RIVER FROM KKG TO TINAI (0.00 KM TO 15.50 KM) BY BRT,2012,Ditchu R.F,37.2,Reserved Forest (RF),19-07-2022,Arunachal Pradesh,13745,
Punjab,3,Dasuya,Talwara-2,"Diversion of 0.4172 Hectare forest land for a Proposed Site for M/s A.B. Katha Factory at village Beh Mawa, H.B. No. 552, Khasra No. 19 on Beh Mawa - [37352]",2017,"M/s A.B. Katha Factory at village Beh Mawa, H.B. No. 552, Khasra No. 19 on Beh Mawa -",0.417,Sec 4 IFA,07-09-2018,DFO Dasuya,10608,
Punjab,3,Sangrur,Barnala,APP. RD. TO RETAIL OUTLET ON BARNALA-MANSA RD. [21878],2009,Barnala Mansa Road km 90-91r/s,0.028,CA Land Received under FCA Proposal,02-10-2015,DFO Sangrur,6151,
Uttarakhand,5,"DFO ,Kedarnath Wildlife Division","RO Dhanpur Range Gauchar , Kedarnath",RANO BRIDGE TO SIMALKHOLI MOTOR ROAD(3.960) [23208],2009,RANO BRIDGE,3.96,Revenue Forest,30-07-2015,"DFO ,Kedarnath Wildlife Division",4489,
Gujarat,24,Rajkot SF,Wankaner SF,LAYING WATER SUPPLY SCHEME IN FAVOUR OF GUJARAT WATER SUPPLY & SEVERAGE BOARD [14629],2011,LAYING WATER SUPPLY SCHEME IN FAVOUR OF GUJARAT WATER SUPPLY & SEVERAGE BOARD,0.034,Protected Forest (PF),28-01-2015,DFO Rajkot SF,3191,
Uttarakhand,5,"DFO Lansdowne, kotdwaar","RO dugadda, lansdowne","RENEWAL OF LEASE FOR DWSS IN FAVOUR OF PRESIDENT, NAGAR PALIKA DUGADDA [12876]",2001,riwali co. no. 3,0.001,Reserved Forest (RF),02-09-2015,"DFO Lansdowne, kotdwaar",5424,
Uttarakhand,5,"DFO Badrinath, Gopeshwar","RO Chamoli , badrinath",PALTANDHAR TOK DWSS [31146],2002,PALTANDHAR,0.272,Reserved Forest (RF),11-08-2015,"DFO Badrinath, Gopeshwar",4580,
Punjab,3,Patiala,Nabha,FOREST LAND FOR APPROACH ROAD TO RETAIL OUTLET OF RELIANCE INDUSTRIES LTD. AT NABHA-GOBINDGARH ROAD [22859],2005,APPROACH ROAD TO RETAIL OUTLET OF RELIANCE INDUSTRIES LTD. AT NABHA-GOBINDGARH ROAD,0.022,Protected Forest (PF),09-09-2015,DFO Patiala,5676,
Uttarakhand,5,"DFO ,Kedarnath Wildlife Division","RO Nagnath , Kedarnath",DIVERSION OF FOREST LAND FOR CONST. OF UTTEROAN DWSS [12081],2000,Kalodanda -7,0.069,Reserved Forest (RF),25-02-2016,"DFO ,Kedarnath Wildlife Division",7324,
Punjab,3,Patiala,Sirhind,"CONST. OF APPROACH RAOD TO FACTORY UNIT AT VILLAGE JALALPUR ON LALALPUR-BAMARSI ROAD KM. 0-1, R/S IN FAVOUR OF HANSKO IRON & STEEL PVT. LTD., [20421]",2009,"Hansco Iron & Steel Vill: jalalpur""",0.001,Protected Forest (PF),31-08-2015,DFO Patiala,5244,
Punjab,3,Pathankot,Pathankot,PETROL PUMP ON NH-I SUJANPUR [21714],2003,1,0.232,Protected Forest (PF),24-08-2018,DFO Pathankot,5560,
Gujarat,24,Narmada,Sagbara,"Diversion of 38.3986 ha. of RF/PF in Tapi, Narmada, Bharuch & Vadodara dist. for 765 KV transmission line [31977]",2012,"Diversion of 38.3986 ha. of RF/PF in Tapi, Narmada, Bharuch & Vadodara dist. for 765 KV transmission",38.39,Reserved Forest (RF),20-11-2020,DFO Narmada,11291,
Andhra Pradesh,28,Nizamabad,Nizamabad (N),Construction of Summer Storage Tank at Yamcha [354],1996,Summer Storage Tank at Yamcha,11.3,Reserved Forest (RF),10-10-2014,AP State Admin,2220,
Haryana,6,Panipat,Samalkha,APP. RD. TO RETAIL OUTLET OF IBP ON NH 1 KM. 71-72 L/S AT VILLAGE SAMALKHA [18973],2011,"IBP ON NH 1 KM. 71-72 L/S AT VILLAGE SAMALKHA, Panipat",0.034,Protected Forest (PF),16-03-2018,DFO Panipat,10101,
Punjab,3,Patiala,Patiala,"RETAIL OUTLET PETROL PUMP ON PATIALA-THAPA ROAD, KM. 7-8 L/S AT VILLAGE MAAUR-NABHA [21469]",2004,"RETAIL OUTLET PETROL PUMP ON PATIALA-THAPA ROAD, KM. 7-8 L/S AT VILLAGE MAAUR-NABHA",0.022,Protected Forest (PF),27-11-2015,DFO Patiala,6757,
Haryana,6,Gurgaon,Gurgaon,CNG Pump ProjectGurgaon Badli road KM/13-14 left hand side at village Bhudhera Tehsil&District Gurgaon [39528],2018,CNG Pump ProjectGurgaon Badli road,0.009,Protected Forest (PF),19-03-2021,DFO Gurgaon,12129,
Haryana,6,Sirsa,Sirsa,APP.RD. TO RETAIL OUTLET OF HPCL AT VILL. KUTIYANA [17212],2007,Kutiyana-Nithana road R/s at Village Kutiyana,0.007,Protected Forest (PF),04-07-2015,Sirsa,4177,
Chhattisgarh,22,Jashpur,Tapkara,765 KV Ranchi to Korba Transmission Line [42479],2012,Kh. No. 6/1/k/1,2.944,Revenue Forest,04-05-2022,Tapkara,13404,
Himachal Pradesh,2,Kullu,Kullu,Seobag-Gahar-Paharmeha road(0/00 to 7/520) Ft. Divn Distt. Kullu [5911],2007,Gahar,3.535,Unclassified Forest,18-05-2015,DFO Kullu,3939,
Haryana,6,Mahendergarh,Naggal Chaudhary,"APP. ROAD TO THE RETAIL OUTLET AT VILALGE RAMBAS ON NARNAUL-RAMBAS ROAD KM. 7-8, R/S [18770]",2009,"RETAIL OUTLET AT VILALGE RAMBAS ON NARNAUL-RAMBAS ROAD KM. 7-8, R/S",0.011,Protected Forest (PF),07-10-2017,DFO Mahendergarh,9730,
Punjab,3,Ludhiana,Samrala,"Diversion of 0.0871 ha of forest land for app. rd. to retail outlet of HPC Ltd. on Ludhiana-Chandiagrh rd. Km. 36-37 L/s, NH-95, Village Dialpura, for",2005,"Ludhiana-Chandiagrh rd. Km. 36-37 L/s, NH-95, Village Dialpura",0.087,Protected Forest (PF),09-02-2022,DFO Ludhiana,13011,
Uttarakhand,5,"DFO Narendra Nagar, Narendra nagar","RO Maniknath, narendra nagar",BARSOLI BAND TO GURCHOLI MOTOR ROAD [6527],2010,Civil,0.81,Revenue Forest,08-02-2018,"DFO Narendra Nagar, Narendra nagar",10028,
Uttarakhand,5,"DFO Lansdowne, kotdwaar","RO Kotdwar, Lansdowne",SPAN BRIDGE ON MALAN RIVER IN KANWA ASHRAM [12151],2011,Kanwashram,0.028,Revenue Forest,08-09-2015,"DFO Lansdowne, kotdwaar",5602,
Maharashtra,27,Nagpur,Seminary Hills Nagpur,UPGRADATION OF EXISTING 4 LANE TO 6 LANE OF NAGPUR BYPASS (PART OF OUTER RING ROAD OF NAGPUR) IN FAVOUR OF NATIONAL HIGHWAY AUTHORITY OF INDIA [9730],2008,Ditst.Nagpur Tal.Nagpur Gra.Village Mahalgaon Sur.No. 18 Z.J.,0.39,Revenue Forest,30-01-2016,Nagpur,7196,
Gujarat,24,Bhavnagar SF,Palitana SF,Proposal of Deforesting for widening & Strenthning Of Gariyadhar Paravdi Palitana Road [39971],2018,Proposal of Deforesting for widening & Strenthning of Gariyadhar Paravdi Palitana Road,17.759,Protected Forest (PF),25-11-2020,DFO Bhavnagar SF,11320,
Gujarat,24,Gir-West WL,Talala,LAYING OFC BETWEEN RAMRECHI TO HARIPUR [17938],2001,LAYING OFC BETWEEN RAMRECHI TO HARIPUR,0.171,Protected Forest (PF),30-04-2015,DFO Gir-West WL,3832,
Punjab,3,Sangrur,Lehrgaga,Bhikhi Mini Hydel Project at Sahoke District Sangrur,2018,HARIGHAR MIMNOR RD 0 TO Tail b/s,0.637,Revenue Forest,22-11-2021,DFO Sangrur,12667,
Karnataka,29,Bellary,Sandur,"Diversion of 24.28 ha of forest land for renewal of M.L. No.1894/2451 in f/o M/s. Ramghad Minerals & Mining Co.(P) Ltd., Bellary for extraction of iro [840]",1997,"Venkatagiri Village, Ramgad Block, Sandur Taluk.",24.28,Unclassified Forest,24-01-2017,DFO Bellary,8340,
Chhattisgarh,22,South Kondagaon,Mulmula,PROSPECTING OF ROWGHAT IRON ORE MINES OF M/S BHILAI STEEL PLANT [27311],2009,PF 679,5,CA Land Received under FCA Proposal,05-09-2020,DFO South Kondagaon,11104,
Maharashtra,27,Nagpur,Deolapar,CONSTRUCTION OF LODHA-SITAPUR LIFT IRRIGATION SCHEME IN FAVOUR OF IRRIGATION PROJECT DIVISION [10130],2011,"Distt.Nagpur Tal. Ramtek Round Karvhi Beat Village Lodha, Sitapur Sur. No. 263",0.12,Protected Forest (PF),30-01-2016,Nagpur,7177,
Uttarakhand,5,"DFO Badrinath, Gopeshwar","RO Chamoli , badrinath",WIDENING KM 430 TO KM 446.00(PIPALKOTI ) OF RISHIKESH MANA JOSHIMATH NH [3515],2010,"CHAMOLI, CHETRAPAL, BHUMLS LAGA KHANURI, GHADI, VIRHI, BATULA,GADORA, AGTHALA,NOURAKH",18.665,Revenue Forest,01-01-2021,"DFO Badrinath, Gopeshwar",2359,
Punjab,3,Mansa,Mansa,SETTING UP INDUSTRIAL UNIT (EXTRACTION PLANT) AT VILLAGE NANGAL KHURD ON JAWAHERKA NANGAL LINK ROADMANSA [21468],2004,JAWAHERKA NANGAL LINK ROADMANSA,0.002,Protected Forest (PF),25-07-2018,DFO Mansa,9803,
Punjab,3,Patiala,Sirhind,APP. RD. TO RETAIL OUTLET OF IBP. LTD. AT VILL. GHATIND [21320],2008,APP. RD. TO RETAIL OUTLET OF IBP. LTD. AT VILL. GHATIND,0.01,Protected Forest (PF),06-10-2015,DFO Patiala,6226,
Chhattisgarh,22,Rajnandgaon,Chouki,CONSTRUCTION OF MONGRA BARRAGE (IRRIGATION PROJECT) TO DEPTT OF WATER RESOURCES [31819],2004,Compartment 718,41.56,Protected Forest (PF),22-12-2020,DFO Rajnandgaon,11500,
Odisha,21,Keonjhar,Badbil,RENEWAL OF MINING LEASE IN TIRINGPAHAR MANGANESE MINES OF M/S TISCO LIMITED [11036],2007,Katamati,2.78,Revenue Forest,09-05-2018,DFO Keonjhar,10416,
Madhya Pradesh,23,Indore(T),Manpur,INDORE KHALGHAT FOUR LANE ROAD [2328],2007,34593233,30.754,Reserved Forest (RF),13-12-2013,Administrator,1098,
Punjab,3,Sangrur,Sangrur,APP.RD. TO PUNJAB PROCELA IN FACTORY ON SANGRUR - UPPLI LINK RD. [22225],2009,sangrur-uppli-LINK ROAD rd km 0-1 r/s,0.001,CA Land Received under FCA Proposal,10-11-2015,DFO Sangrur,6611,
Karnataka,29,Koppa,Koppa,"Diversion of 8.79 ha. of Forest Land for construction of 33 KV DC line from Muthinakoppa to Koppa sub station - Executive Engineer, MESCOM, Chikmagal [2494]",2009,"Ft.Sy.Nos. 74,Mudunakoppa, 57, Madabur,20 Kadahinabylu, in Aramballi SF, 109 & 37, Gibbige, 112 Kada",8.79,State Forest,18-12-2017,DFO Koppa,906,
Karnataka,29,Chitradurga,Chitradurga,"Diversion of 27.63 ha of f/l in Joggimatti RF in C'durga for establishing 33.00 MW WPP in f/o M/s Suzlon Energy Ltd, Bangalore. [2363]",2006,Jogimatti RF.,27.63,Reserved Forest (RF),01-03-2017,DFO Chitradurga,8873,
Uttarakhand,5,"DFO Garhwal , Pauri","RO Pokhra , garhwal",NAVODAY VIDYALAY KHAIRSAIN [11250],2009,0,5.91,Revenue Forest,30-03-2016,"DFO Garhwal , Pauri",7556,
Punjab,3,Amritsar,Raiya-2,"FOREST LAND FOR APPROACH ROAD TO RETAIL OUTLET OF IOC LTD, AT AMRITSAR MEHTA ROAD. [22831]",2005,Div of 0.0232 ha of forest land at Asr-Mehta road km 22-23 R/S Vill Akalgarh Dhapian Distt Amritsar,0.023,Protected Forest (PF),14-01-2016,DFO Amritsar,7050,
Haryana,6,Rohtak,Meham,Diversion of 4.56 ha for laning of rohtak hisar road from km 102.800-104.000 & 106.000-108.600 in meham town. [27757],2013,53D/5,4.56,Protected Forest (PF),13-04-2017,DFO Rohtak,9017,
Punjab,3,Bathinda,Bathinda,APP. RD. WAY TO RESIDENTIAL COLONY AT VILL. JASSI PANWALI [22107],2010,WAY TO RESIDENTIAL COLONY AT VILL. JASSI PAUWALI,0.026,Protected Forest (PF),12-09-2015,DFO Bathinda,5776,
Punjab,3,Faridkot,Moga,Diversion of 0.009779 ha of forest land for approach road to retail outlet (HPC Ltd.) at vill. Smallsar on Moga Kotkapura road km. 27-28 L/s under For [21107],2012,Diversion of 0.009779 ha of forest land for approach road to retail outlet (HPC Ltd.) at vill. Small,0.01,Protected Forest (PF),06-01-2016,DFO Faridkot,7015,
Uttarakhand,5,"DFO Champawat , Champawat","RO Lohaghat , Champawat",KIMTOLI RASHAUL MOTOR ROAD TO ATHLAR MOTOR ROAD [12953],2009,Athlar VP,0.45,Protected Forest (PF),28-07-2015,"DFO Champawat , Champawat",4443,
Andhra Pradesh,28,Eluru,Eluru,Diversion of 3731.07 Ha.(3473.00 Ha. notified forest area plus 258.07 Ha. deemed forest area) for Indira Sagar (Polavaram) Multipurpose project. [1029],2010,"Unguturu RF - II, Comp .No. 219,220",38.34,Reserved Forest (RF),19-04-2017,DFO Eluru,9050,
Haryana,6,Sirsa,Sirsa,CONST OF ROAD FROM SIRSA BARWALA TO CHATARGARH PATTI ALONGWITH SIRSA MAJOR DISTRIBUTORY [28841],2002,Sirsa -Barnala road to Chattargarh patti along Sirsa Major Distry.,0.83,Protected Forest (PF),06-07-2015,Sirsa,4279,
Uttarakhand,5,"DFO Badrinath, Gopeshwar","RO East Pindar, badrinath",BORAGAD-CHAUR MOTOR ROAD UNDER PMGSY (PHASE-7) (4.050) [30288],2009,navali 4,2.25,Reserved Forest (RF),29-04-2015,"DFO Badrinath, Gopeshwar",3816,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO Agastyamuni , Rudraprayag",APPROACH RAODS FOR FATA-VYUNG HEP [12390],2007,Maikhanda I C.No.- 4B,2.84,Reserved Forest (RF),22-09-2015,"DFO Rudraprayag , Rudraprayag",5964,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO south Jakholi , Rudraprayag",SAUDA - MAITHANAKHAL MOTOR ROAD UNDER PMGSY(3.825 HA.) [12186],2009,"Sonda, Methanakhan, Silli, Timli Civil",1.575,Revenue Forest,27-06-2015,"DFO Rudraprayag , Rudraprayag",4140,
Punjab,3,Ludhiana,Doraha,"UPGRADATION OF DEHLON-PAKHOWAL RD., KM. 0-12.5 & 15.50-17.05 B/S (KM. 0 TO 1.8 & 16.00 TO 17.5 LIES UNDER ZILLA PARISHAD), [22086]",2008,Dehlon Pakhowal Road,2.604,Protected Forest (PF),27-09-2014,DFO Ludhiana,2106,
Haryana,6,Jhajjar(Central Rohtak),Matanhail,APPROACH ROAD TO RETAIL OUTLET OF HPCL ALONG JHAJJAR-MATANHAIL ROAD L/S AT ISLAMGARH [18325],2012,"M/s HPCL on Jhajjar-Matanhail Road, L/S at village Islamgarh, Distt-Jhajjar.",0.007,Protected Forest (PF),21-02-2017,DFO Jhajjar(Central Rohtak),8769,
Punjab,3,Dasuya,Talwara-2,Diversion of 0.0068 ha of forest land for construction of underground storage water tank at village Dhar Teh Mukerian Distt. Hoshiarpur. [33692],2005,Village Dhar,0.007,Reserved Forest (RF),12-07-2016,DFO Dasuya,7777,
Uttarakhand,5,"DFO Almora , Almora","RO Ranikhet ,Almora",DIVERSION OF FOREST LAND FOR SEISMIC SURVEY IN FAVOUR OF SEISMIC DEPTT. KUMAON UNIVERSITY ON LEASE [30890],1998,syu c.n.2,0.003,Reserved Forest (RF),28-08-2015,"DFO Almora , Almora",5178,
Gujarat,24,Bharuch Sub Division,Bharuch,SETTING UP OF 60 MW POWER PLANT DAP/ NPK AND PAP PROJECTS ALONGWITH COPPER SMELTER EXPANSION IN F/O HINDALCO INDUSTRIES [18078],2007,SETTING UP OF 60 MW POWER PLANT DAP/ NPK AND PAP PROJECTS ALONGWITH COPPER SMELTER EXPANSION IN F/O,16,Reserved Forest (RF),13-03-2015,DFO Bharuch Sub Division,3509,
Assam,18,Nagaon,"Northern , Salna",Diversion of Forest Land for Operation of Dholpahar Stone Mahal No.1 [38287],2018,Dholpahar PRF,1,Reserved Forest (RF),25-11-2020,Assam,11319,
Haryana,6,Karnal,Indri,"Proposed layout and site plan for new retail outlet of HPCL at village Kalsora, Distt. Karnal [35632]",2017,KANAL-GARHIBIRBAL ROAD VILLAGE KALSORA,0.009,Protected Forest (PF),25-06-2018,DFO Karnal,10494,
Punjab,3,Mansa,Budhlada,"Diversion of 0.01895 hec of Forest Land for approach road to retail outlet of Reliance Industries Ltd, at village Gurne Khurd on Budhlada-Bhikhi road KM 13-14 L/s Distt Mansa [33656]",2003,village Gurne Khurd on Budhlada-Bhikhi road KM 13-14 L/s Distt Mansa,0.019,Protected Forest (PF),17-07-2018,DFO Mansa,9892,
Uttarakhand,5,"DFO Tons,Purola","RO Kotigad, Tons",CONSTRUCTION OF MATURI RAWADHAR KM1 -5 MOTOR ROAD [12708],2000,"Dagoli-1, 2",1.2,Reserved Forest (RF),02-09-2015,"DFO Tons,Purola",5420,
Punjab,3,Dasuya,Mukerian,APPROCH ROAD TO RETAIL OUTLET OF HPCL ON MUDERIAN-HAJIPUR ROAD KM.10-11 L/S AT VILLAGE-NIKUCHAK [20104],2011,Mukerian-Hazipur Km 10-11 L/s at Vill. Nikuchak,0.011,Protected Forest (PF),13-08-2015,DFO Dasuya,4662,
Punjab,3,Pathankot,Pathankot,Div of 0.0118 ha of forest land for approach road to the retail outlet of M/s Indian Oil Corporation Ltd. at Dinanagar to Narot Jaimal Singh road km [21202],2013,Dinanagar to Narot Jaimal Singh Road Km 7-8 L/Side Village Taragarh District Pathankot,0.012,Protected Forest (PF),24-08-2018,DFO Pathankot,4366,
Uttarakhand,5,"DFO Uttarkashi, Uttarkashi","RO barahat , Uttarkashi",KALDIGAD MINI HYDEL PROJECT [20016],2009,KALDIGAD MINI HYDEL PROJECT,1.685,Reserved Forest (RF),28-08-2015,"DFO Uttarkashi, Uttarkashi",5211,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO Khankra , Rudraprayag",Murchaunda canal [33004],2009,"Sirai, Chaura Civil",0.02,Revenue Forest,09-06-2016,"DFO Rudraprayag , Rudraprayag",7725,
Uttar Pradesh,9,Social Forestry Division Mau,Doharighat,400 K.V. D.C.(BALIA-LUCKNOW PART-2) TRANSMISSION LINE(0.805 HA.) [23621],2007,DOHARIGHAT PUMP CANAL,0.069,Protected Forest (PF),13-04-2015,DFO Social Forestry Division Mau,2000,
Uttarakhand,5,"DFO Almora , Almora","RO Almora , Almora",DALBAND SHAHID HARISH DEVRI MOTOR ROAD [12310],2006,Devra v.p,1.924,Protected Forest (PF),15-04-2015,"DFO Almora , Almora",3718,
Gujarat,24,Kutch-West,Bhuj West,LAYING WATER PIPELINE IN FAVOUR OF GUJARAT WATER INFRASTRUCTURE LTD [18056],2006,Kuvathda,3.01,Unclassified Forest,04-02-2017,DFO Kutch-West,8446,
Haryana,6,Mewat,Firozpur Jhirka,Construction of new road from Shahpur to Kati Ghati upto Rajastan border km. 0.00 to 2.430 in Nuh district.,2019,Construction of new road from Shahpur to Kati Ghati upto Rajastan border km. 0.00 to 2.430 in Nuh di,0.6,Protected Forest (PF),02-05-2022,DFO Mewat,13398,
Haryana,6,Jind,Jind,APP.RD. TO RETAIL OUTLET BY HPCL AT JIND CITY [17006],2006,New Sabji Mandi Road jind city Hari Nagar Colony safido gate,0.009,Protected Forest (PF),15-09-2015,DFO Jind,5812,
Maharashtra,27,Gondia,Sadak Arjuni,"CONSTRUCTION OF NAVEGAON BANDH FEEDER CANAL PROJECT IN F/O IRRIGATION DIVISION, GONDIA [9637]",2008,86/3,15.534,Revenue Forest,08-08-2013,Gondia,915,
Uttarakhand,5,"DFO Badrinath, Gopeshwar","RO West Pindar , Badrinath",NANDGAON SUNAKOT LIGHT VEHICLE ROAD [11268],2004,SIMLI,0.9,Protected Forest (PF),13-08-2015,"DFO Badrinath, Gopeshwar",4738,
Punjab,3,Jalandhar,Jalandhar,"Diversion of 0.005784 ha of forest land for approach road to Residential Colony namely ELITE CITY at Vill. Barsal & Udhopur adjoining Shahpur on Partappura-Urban Estate Road, Km. 6-8 L/s under Forest Division & Distt. Jalandhar. [33678]",2014,Residential Colony namely ELITE CITY at Vill. Barsal & Udhopur adjoining Shahpur on Partappura-Urban,0.006,Protected Forest (PF),30-07-2017,DFO Jalandhar,9416,
Punjab,3,Patiala,Sirhind,CONST. OF 66 KV LINE FROM TL - 14/JB TO 66 KV S/STN. M/S A.R.CASTING KM. 263-265 MANDI GOBINDGARH - FATEHGARH SAHIB [21824],2001,CONST. OF 66 KV LINE FROM TL - 14/JB TO 66 KV S/STN. M/S A.R.CASTING KM. 263-265 MANDI GOBINDGARH -,0.154,Protected Forest (PF),05-10-2015,DFO Patiala,6210,
Madhya Pradesh,23,Singrauli,West Sarai,765 KV Sasan-Satna Singal Circuit 1 Transmission Line [3046],2012,P-659,7.532,Protected Forest (PF),01-02-2019,DFO Singrauli,10737,
Karnataka,29,Bellary,Sandur,Diversion of 14.00 ha. of f/l for RML No.2183 for mining of iron ore in f/o M/s. Aboobakar in NEB in Bellary Dsit. [896],1994,"N.E.Block,Sandur Taluk.",14,Unclassified Forest,30-09-2014,DFO Bellary,2134,
Uttarakhand,5,"DFO Tehri , New Tehri","RO Balganga, Tehri",Pinswad Dwss [32742],1998,Pinswad Beat,0.054,Reserved Forest (RF),30-10-2015,"DFO Tehri , New Tehri",6429,
Uttarakhand,5,"DFO Upper Yamuna , Badkot","RO rawain, Upper yamuna",CONSTRUCTION OF GANGANI SMALL HYDROELECTIC PROJECT(3.001 HA.) [6635],2006,kisala soyam,3.001,Revenue Forest,27-04-2015,"DFO Upper Yamuna , Badkot",3772,
Punjab,3,SAS Nagar,Derabassi,"SETTING UP RETAIL OUTLET AT MUBARKPUR DERABASSI, FOREST DIVISION [21622]",2003,"SETTING UP RETAIL OUTLET AT MUBARKPUR DERABASSI, FOREST DIVISION",0.021,Protected Forest (PF),16-11-2015,DFO SAS Nagar,6645,
Uttarakhand,5,"DFO Almora , Almora","RO Almora , Almora",SHITALKHET KAKRIGHAT MOTOR ROAD [3008],2010,p,1.25,Reserved Forest (RF),08-11-2013,"DFO Almora , Almora",1025,
Haryana,6,Kaithal,Saraswati,"APPROACH ROAD TO RETAIL OUTLET ON CHEEKA-GUHLA ROAD, SH-11, KM 33-34 R/S [18614]",2010,"CHEEKA-GUHLA ROAD, SH-11, KM 33-34 R/S",0.013,Protected Forest (PF),18-04-2015,DFO Kaithal,3747,
Himachal Pradesh,2,Ani at Luhari,Nither,Diversion of 0.9486 hc. of Additional Forest land for Luhri HEP Stage-1(210MW),2021,UPF Moin,0,Unclassified Forest,24-09-2021,DFO Ani at Luhari,12506,
Madhya Pradesh,23,Mandla West(T),Barela,LOWAR TANK [1397],1994,LOWER TANK,3.02,Reserved Forest (RF),06-01-2018,DFO Mandla West(T),9946,
Uttarakhand,5,"DFO Garhwal , Pauri","RO pauri , garhwal",Khandah-Bhelgad-Jaakh-kathuli MR [32254],2010,Civil,5.517,Revenue Forest,24-07-2015,"DFO Garhwal , Pauri",4381,
Punjab,3,Pathankot,Dunera,CONST. OF A HOUSE BY VINOD BALA D/O LATE SH. PUSHPINDER SINGH ON PATHANKOT-DALHOUSIE ROAD KM 31-32 L/S [20364],2010,Pathankot to Dalhousie Road Km 31-32 L/Side,0.082,Proposed Protected Forest (Proposed PF),24-09-2014,DFO Pathankot,2057,
Uttarakhand,5,"DFO Almora , Almora","RO Almora , Almora",TOURIST HOME KAKRIGHAT [6746],2007,-,0.2,Revenue Forest,20-08-2015,"DFO Almora , Almora",4937,
Uttarakhand,5,"DFO Nainital, Nainital","RO , South gaula Nainital",TAKURA TO THLADI MOOTR ROAD UNDER PMGSY(PHASE-7)(3.555) [3361],2009,Dhalkniya,3.555,CA Land Received under FCA Proposal,20-01-2015,"DFO Nainital, Nainital",3108,
Andhra Pradesh,28,Krishna,Vijayawada,CONSTRUCTIN OF NEW BG RAILWAY LINE FROM JAGGAIAHPETA TO MELLACHERUVU OVER A LENGTH OF 21.60 KMS PASSING THROUGH BUDAWADA RESERVED FORESTS IN FAVOUR OF [26726],2010,Budawada RF,21.74,Reserved Forest (RF),18-12-2014,AP State Admin,2722,
Haryana,6,Sirsa,Sirsa,"LAYING OF SEWER LINE ALONG SIRSA-KANGAANPUR ROAD, SIRSA-BAGU ROAD, SIRSA-JAMAL ROAD AND SIRSA-NATAR IN F/O EX. ENGINEER, PUBLIC HEALTH ENGG. DIVN. NO. [18732]",2010,"Sirsa-Kanganpur road , Sirsa -Begu road,Sirsa-Jamal road and Sirsa -Natar road",0.34,Protected Forest (PF),06-07-2015,Sirsa,4273,
Punjab,3,Patiala,Samana,UPGRADATION OF PATIALA - SAMANA RD. [22172],2006,PATIALA - SAMANA RD.,11.46,Protected Forest (PF),20-08-2015,DFO Patiala,4908,
Haryana,6,Kaithal,Kaithal,WAY REQUIRED FOR RAILWAY SIDINGS FOR FOODGRAIN STORAGE TERMINAL FOR FCI ON BOD BASIS TO STRENGTHEN PDS SYSTEM ON DHAND-KAITHAL ROAD. [16783],2008,Dhand-Kaithal Road,1.4,Protected Forest (PF),12-04-2015,DFO Kaithal,3696,
Uttarakhand,5,"DFO Rudraprayag , Rudraprayag","RO Agastyamuni , Rudraprayag",PHATA JAMU MOTOR ROAD UNDER PMGSY PHASE-6 [3011],2010,Maikhanda I C.No.- 2A,0.45,Reserved Forest (RF),29-06-2015,"DFO Rudraprayag , Rudraprayag",4162,
Uttarakhand,5,"DFO Pithoragarh ,Pithoragarh","RO pithoragarh , pithoragarh",BADAALU-VARTIYAKOT LINK MOTOR ROAD (0.60 HA.) [3212],2006,Badalu to vartiyakot motor road,0.6,Revenue Forest,01-09-2015,"DFO Pithoragarh ,Pithoragarh",5349,
Uttarakhand,5,"DFO Uttarkashi, Uttarkashi","RO Dharasu , uttarkashi",CONSTRUCTION OF KHALSI MOTOR ROAD TO KHALSI VILLAGE MOTOR ROAD UNDER PMGYS [12490],2007,Khalsi Motor to Khalsi vill,5.664,Reserved Forest (RF),11-09-2015,"DFO Uttarkashi, Uttarkashi",5758,
Punjab,3,Amritsar,Amritsar-2,APP. RD. TO RETAIL OUTLET OF IOCL AT VILL.RAJATAL ATTARI CHABAL RD [22117],2007,APP. RD. TO RETAIL OUTLET OF IOCL AT VILL.RAJATAL ATTARI CHABAL RD,0.016,Protected Forest (PF),06-01-2015,DFO Amritsar,1221,
Uttarakhand,5,"DFO Bageshwar, Bageshwar","RO Gadhkhet , Bageshwar",MANYURA-I DWSS UNDER SWAJAL PROJECT [19621],2010,South Kabhtoli,0.09,Reserved Forest (RF),21-09-2015,"DFO Bageshwar, Bageshwar",5934,
Rajasthan,8,DCF Sriganganagar,RANGE BIRDHAWAL,"Proposed 4-lane R.O.B. in Sriganganagar, District. [37396]",2017,SDS 2 SPM,3.2,CA Land Received under FCA Proposal,13-11-2020,Administrator,11266,
